,datahora,nome_drs,pacientes_uti_mm7d,total_covid_uti_mm7d,ocupacao_leitos,pop,leitos_pc,internacoes_7d,internacoes_7d_l,internacoes_7v7
156,16/10/2020,DRS 13 Ribeirão Preto,143.14,301.71,47.44,1477530.0,20.42,323.0,450.0,-28.22
157,16/10/2020,DRS 14 São João da Boa Vista,46.71,127.14,36.74,809836.0,15.7,124.0,149.0,-16.78
158,16/10/2020,DRS 15 São José do Rio Preto,233.86,440.86,53.05,1570421.0,28.07,496.0,703.0,-29.45
159,16/10/2020,DRS 16 Sorocaba,114.29,230.43,49.6,2461760.0,9.36,219.0,270.0,-18.89
160,16/10/2020,DRS 17 Taubaté,146.57,400.0,36.64,2489629.0,16.07,309.0,348.0,-11.21
161,16/10/2020,Estado de São Paulo,3481.0,8408.29,41.4,44639899.0,18.84,6917.0,8505.0,-18.67
162,17/10/2020,DRS 01 Grande São Paulo,1886.14,4631.29,40.73,21138247.0,21.91,3494.0,4164.0,-16.09
163,17/10/2020,DRS 02 Araçatuba,61.57,118.0,52.18,764041.0,15.44,130.0,146.0,-10.96
164,17/10/2020,DRS 03 Araraquara,39.14,123.29,31.75,991435.0,12.44,185.0,265.0,-30.19
165,17/10/2020,DRS 04 Baixada Santista,111.86,401.43,27.87,1831884.0,21.91,198.0,188.0,5.32
166,17/10/2020,DRS 05 Barretos,51.86,91.0,56.99,425090.0,21.41,110.0,177.0,-37.85
167,17/10/2020,DRS 06 Bauru,137.86,228.86,60.24,1741281.0,13.14,254.0,369.0,-31.17
168,17/10/2020,DRS 07 Campinas,231.0,623.29,37.06,4562125.0,13.66,388.0,562.0,-30.96
169,17/10/2020,DRS 08 Franca,47.0,109.43,42.95,696336.0,15.72,112.0,125.0,-10.4
170,17/10/2020,DRS 09 Marília,67.57,161.43,41.86,1109670.0,14.55,142.0,204.0,-30.39
171,17/10/2020,DRS 10 Piracicaba,72.14,236.0,30.57,1539600.0,15.33,121.0,188.0,-35.64
172,17/10/2020,DRS 11 Presidente Prudente,43.29,78.86,54.89,752260.0,10.48,118.0,178.0,-33.71
173,17/10/2020,DRS 12 Registro,10.0,39.0,25.64,278754.0,13.99,22.0,32.0,-31.25
174,17/10/2020,DRS 13 Ribeirão Preto,142.29,300.14,47.41,1477530.0,20.31,316.0,426.0,-25.82
175,17/10/2020,DRS 14 São João da Boa Vista,46.57,127.29,36.59,809836.0,15.72,113.0,153.0,-26.14
176,17/10/2020,DRS 15 São José do Rio Preto,226.29,439.43,51.5,1570421.0,27.98,484.0,695.0,-30.36
177,17/10/2020,DRS 16 Sorocaba,114.29,230.43,49.6,2461760.0,9.36,208.0,256.0,-18.75
178,17/10/2020,DRS 17 Taubaté,145.14,392.14,37.01,2489629.0,15.75,310.0,342.0,-9.36
179,17/10/2020,Estado de São Paulo,3434.0,8331.29,41.22,44639899.0,18.66,6705.0,8470.0,-20.84
180,18/10/2020,DRS 01 Grande São Paulo,1874.29,4588.71,40.85,21138247.0,21.71,3494.0,4110.0,-14.99
181,18/10/2020,DRS 02 Araçatuba,60.43,116.86,51.71,764041.0,15.29,119.0,145.0,-17.93
182,18/10/2020,DRS 03 Araraquara,36.57,122.71,29.8,991435.0,12.38,175.0,264.0,-33.71
183,18/10/2020,DRS 04 Baixada Santista,113.71,400.43,28.4,1831884.0,21.86,202.0,184.0,9.78
184,18/10/2020,DRS 05 Barretos,50.57,91.0,55.57,425090.0,21.41,103.0,162.0,-36.42
185,18/10/2020,DRS 06 Bauru,134.57,229.43,58.65,1741281.0,13.18,244.0,347.0,-29.68
186,18/10/2020,DRS 07 Campinas,228.29,612.0,37.3,4562125.0,13.41,386.0,522.0,-26.05
187,18/10/2020,DRS 08 Franca,45.57,109.43,41.64,696336.0,15.72,104.0,129.0,-19.38
188,18/10/2020,DRS 09 Marília,68.86,161.29,42.69,1109670.0,14.53,137.0,201.0,-31.84
189,18/10/2020,DRS 10 Piracicaba,72.14,235.57,30.62,1539600.0,15.3,123.0,176.0,-30.11
190,18/10/2020,DRS 11 Presidente Prudente,41.0,78.29,52.37,752260.0,10.41,108.0,172.0,-37.21
191,18/10/2020,DRS 12 Registro,9.14,39.0,23.44,278754.0,13.99,17.0,36.0,-52.78
192,18/10/2020,DRS 13 Ribeirão Preto,140.0,297.86,47.0,1477530.0,20.16,313.0,412.0,-24.03
193,18/10/2020,DRS 14 São João da Boa Vista,46.86,127.43,36.77,809836.0,15.74,112.0,144.0,-22.22
194,18/10/2020,DRS 15 São José do Rio Preto,222.57,437.86,50.83,1570421.0,27.88,468.0,689.0,-32.08
195,18/10/2020,DRS 16 Sorocaba,113.14,230.43,49.1,2461760.0,9.36,204.0,235.0,-13.19
196,18/10/2020,DRS 17 Taubaté,142.0,387.71,36.63,2489629.0,15.57,295.0,347.0,-14.99
197,18/10/2020,Estado de São Paulo,3399.71,8266.0,41.13,44639899.0,18.52,6604.0,8275.0,-20.19
198,19/10/2020,DRS 01 Grande São Paulo,1857.86,4548.29,40.85,21138247.0,21.52,3498.0,4034.0,-13.29
199,19/10/2020,DRS 02 Araçatuba,59.71,116.14,51.41,764041.0,15.2,119.0,144.0,-17.36
200,19/10/2020,DRS 03 Araraquara,35.57,122.43,29.05,991435.0,12.35,187.0,252.0,-25.79
201,19/10/2020,DRS 04 Baixada Santista,116.43,400.0,29.11,1831884.0,21.84,205.0,196.0,4.59
202,19/10/2020,DRS 05 Barretos,49.71,91.0,54.63,425090.0,21.41,103.0,152.0,-32.24
203,19/10/2020,DRS 06 Bauru,129.71,229.14,56.61,1741281.0,13.16,247.0,327.0,-24.46
204,19/10/2020,DRS 07 Campinas,224.14,602.14,37.22,4562125.0,13.2,358.0,514.0,-30.35
205,19/10/2020,DRS 08 Franca,44.14,109.57,40.28,696336.0,15.74,110.0,114.0,-3.51
